Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
20,21.666666666666664,41.29032258064516,48.166666666666664,99.11764705882354,0.0,41.244538599915465,44.83652470999524,100.0,0.0,59.6551724137931,47.142857142857146,98.23529411764706
21,21.666666666666664,41.29032258064516,47.666666666666664,99.11764705882354,0.0,41.15019920892264,44.165508707499804,100.0,0.0,58.96551724137932,46.07142857142858,98.23529411764706
22,19.166666666666664,41.774193548387096,48.0,99.11764705882354,0.0,41.597532827909696,44.60941684175834,100.0,0.0,60.689655172413794,46.42857142857143,98.23529411764706
23,19.166666666666664,41.774193548387096,48.5,99.11764705882354,0.0,41.549722111494326,45.08923983113141,100.0,0.0,60.3448275862069,45.71428571428571,98.23529411764706
24,19.166666666666664,42.09677419354839,49.50000000000001,99.11764705882354,0.0,41.73049664931401,45.91865079365079,100.0,0.0,59.6551724137931,43.21428571428572,98.23529411764706
25,19.166666666666664,41.935483870967744,48.16666666666667,98.82352941176471,0.0,41.60842879468801,43.69121802269745,100.0,0.0,59.310344827586206,39.285714285714285,97.64705882352942
26,19.166666666666664,42.25806451612903,48.0,98.52941176470588,0.0,42.06629138241267,43.93961785341096,99.44444444444444,0.0,61.72413793103448,40.714285714285715,97.64705882352942
27,19.166666666666664,42.09677419354839,47.83333333333333,98.52941176470588,0.0,41.96756896661708,43.61910503289814,99.44444444444444,0.0,61.72413793103448,40.714285714285715,97.64705882352942
28,21.666666666666664,42.41935483870968,49.16666666666667,98.52941176470588,0.0,42.156631855268515,43.097663063270275,99.44444444444444,0.0,62.068965517241374,32.857142857142854,97.64705882352942
29,21.666666666666664,44.193548387096776,51.0,98.52941176470588,0.0,43.33888672303306,47.064329729936944,99.44444444444444,0.0,62.75862068965516,36.785714285714285,97.64705882352942
30,21.666666666666664,44.35483870967742,51.333333333333336,98.52941176470588,0.0,43.541390933284724,47.36097798829997,99.44444444444444,0.0,63.448275862068975,37.857142857142854,97.64705882352942
31,25.0,44.19354838709678,49.66666666666667,98.52941176470588,0.0,43.27021766211145,44.71577618288145,99.44444444444444,0.0,62.06896551724138,34.642857142857146,97.64705882352942
