Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
27,68.46153846153845,50.16129032258065,60.16666666666665,50.88235294117647,67.7936507936508,49.536145707809865,57.11795230912878,54.762210012210005,66.05952380952381,34.48275862068966,35.35714285714286,31.76470588235295
28,65.8974358974359,51.45161290322581,58.66666666666667,50.88235294117648,65.07936507936509,52.30846069639173,55.08006486267357,55.517543859649116,63.38095238095239,40.689655172413794,39.28571428571429,35.88235294117648
29,63.58974358974358,53.70967741935484,60.499999999999986,51.17647058823529,62.61724386724387,54.934300361245334,59.234360410831,54.01388888888889,64.80952380952381,35.172413793103445,30.71428571428571,31.176470588235297
30,63.782051282051285,51.61290322580645,57.833333333333336,50.294117647058826,61.5436507936508,52.76442307692307,47.43772893772894,52.96103896103896,61.595238095238095,32.06896551724138,29.642857142857146,28.823529411764703
31,65.25641025641026,51.935483870967744,58.5,50.588235294117645,65.36507936507937,53.94343229869545,49.06794308632543,52.166666666666664,64.0952380952381,32.41379310344828,32.142857142857146,30.0
32,65.8974358974359,52.74193548387096,59.83333333333333,49.705882352941174,65.71428571428571,55.73201345755693,54.84925419408178,50.50840336134454,66.81349206349206,34.48275862068965,37.142857142857146,31.176470588235293
33,67.56410256410257,53.225806451612904,59.33333333333333,50.294117647058826,66.15079365079366,55.44025974025975,56.57183557183557,51.24466301672184,64.95238095238095,33.10344827586207,33.21428571428571,31.76470588235294
34,69.93589743589743,51.61290322580646,60.166666666666664,52.94117647058823,67.0873015873016,49.58000762567326,63.423786739576215,58.162231559290376,66.99603174603175,28.965517241379313,36.42857142857143,41.764705882352935
35,66.08974358974359,51.935483870967744,58.333333333333336,52.35294117647059,63.115079365079374,50.49875363315933,54.43181818181817,56.132560959926685,63.38492063492064,30.689655172413797,34.285714285714285,42.352941176470594
36,64.55128205128206,51.61290322580645,58.5,52.35294117647059,61.47619047619048,49.41831867467076,60.51265401265401,55.22377622377623,63.56349206349206,33.44827586206897,36.07142857142857,45.88235294117647
37,65.32051282051282,51.29032258064517,58.166666666666664,52.05882352941177,62.365079365079374,47.213715614450905,57.84215060302017,55.6323321787718,64.45238095238095,36.55172413793103,37.14285714285714,47.05882352941177
38,67.75641025641025,52.41935483870968,60.66666666666667,52.64705882352941,65.90079365079364,48.86896981014628,62.25154329101698,59.563066563066556,68.34126984126985,43.10344827586207,48.214285714285715,44.70588235294118
39,65.32051282051285,53.70967741935483,59.166666666666664,50.88235294117647,62.26190476190477,51.02516433306169,55.18385066372682,57.357142857142854,68.34126984126985,42.758620689655174,43.214285714285715,40.58823529411764
40,63.01282051282052,53.38709677419355,58.833333333333336,53.23529411764706,65.0,49.805993490513615,54.60118771264282,58.115240968182135,62.6468253968254,32.41379310344828,34.64285714285714,37.05882352941176
