Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
5,61.6025641025641,54.19354838709678,48.5,46.470588235294116,62.5530303030303,51.97374655432465,32.08984071484072,40.97930283224401,60.73015873015872,34.827586206896555,18.571428571428573,32.35294117647059
6,63.846153846153854,56.29032258064516,51.0,42.05882352941177,65.03571428571429,56.641025641025635,35.19444444444444,34.21969696969697,68.24603174603175,23.79310344827586,14.642857142857142,22.35294117647059
7,60.7051282051282,57.58064516129033,51.00000000000001,46.76470588235294,62.896825396825385,74.53589296881981,25.189609102652575,41.04978354978355,60.527777777777786,28.965517241379313,14.642857142857144,32.35294117647059
8,57.628205128205124,54.677419354838705,48.16666666666667,46.470588235294116,60.607142857142854,73.0399385560676,25.488079400274522,39.603174603174594,53.968253968253975,28.620689655172413,18.214285714285715,22.94117647058824
9,62.24358974358974,57.25806451612904,51.166666666666664,45.294117647058826,55.16666666666667,58.91250277322165,34.40653594771241,37.55142569848452,54.8968253968254,38.27586206896551,22.499999999999996,28.823529411764707
10,55.769230769230774,50.483870967741936,49.0,48.82352941176471,47.301587301587304,43.244513945857264,26.08770233126336,35.43314580156685,41.44444444444444,33.44827586206897,24.285714285714285,28.823529411764707
11,63.65384615384615,49.19354838709678,50.83333333333333,47.94117647058824,59.56998556998557,41.12969790066565,32.01589392893741,34.86761849261849,55.492063492063494,25.517241379310345,25.714285714285715,27.058823529411768
12,61.15384615384615,50.483870967741936,52.0,48.82352941176471,59.52380952380952,44.05317442257367,39.174771362271365,42.38492063492064,55.19047619047619,45.517241379310335,36.42857142857143,34.11764705882353
13,66.85897435897436,50.806451612903224,50.5,48.529411764705884,63.86904761904761,56.064964447317394,35.57205506641661,44.63763575605681,72.17460317460318,45.86206896551723,35.35714285714285,35.294117647058826
14,69.1025641025641,49.193548387096776,50.0,48.82352941176471,67.67460317460318,41.58720571546746,36.06820499530137,45.73391812865497,67.67460317460318,43.44827586206897,36.07142857142857,32.35294117647059
15,66.85897435897435,48.70967741935483,48.16666666666667,50.588235294117645,63.904761904761905,52.856643356643346,26.62106570823111,55.32679738562092,63.07142857142858,29.3103448275862,24.642857142857146,25.294117647058822
16,66.9871794871795,53.064516129032256,50.50000000000001,50.0,63.866883116883116,58.627399203623995,34.49611347208601,43.433583959899735,71.06349206349208,31.724137931034484,21.428571428571427,22.941176470588232
17,63.84615384615385,51.774193548387096,49.33333333333333,51.17647058823529,61.45021645021645,53.60811344739916,24.132553606237817,60.0158551458861,65.4126984126984,34.137931034482754,19.285714285714285,22.941176470588236
18,62.94871794871794,51.61290322580645,51.0,49.411764705882355,61.28354978354978,52.86670928848652,34.83280170122275,53.00228937728938,66.16666666666666,32.758620689655174,21.071428571428573,25.294117647058822
19,63.52564102564103,52.09677419354839,53.33333333333335,51.17647058823529,61.2063492063492,51.59307359307358,42.88034188034188,53.5,71.4563492063492,35.51724137931034,25.357142857142858,23.529411764705884
20,67.62820512820514,52.41935483870968,53.833333333333336,50.588235294117645,68.17640692640693,47.954548133858474,45.03251719041192,51.26461988304093,68.56349206349208,38.96551724137931,27.857142857142854,21.176470588235297
21,68.52564102564102,53.38709677419355,54.5,51.47058823529412,65.02777777777777,48.08228600044457,43.6892911010558,52.68300653594771,70.88492063492063,37.58620689655173,25.714285714285715,22.352941176470587
22,66.73076923076923,54.032258064516135,50.33333333333333,51.76470588235294,67.19047619047619,48.697321392058235,38.1074151074151,57.999999999999986,71.2420634920635,37.58620689655172,23.928571428571427,22.352941176470587
23,69.23076923076924,54.032258064516135,52.166666666666664,51.47058823529412,64.85209235209234,49.66153049848702,42.97036297036297,51.74584187742082,76.10317460317461,32.41379310344827,20.357142857142858,22.352941176470587
24,66.02564102564104,52.74193548387096,50.333333333333336,53.23529411764706,65.73809523809524,56.64877979163693,34.82142857142857,60.22759103641456,68.03174603174602,29.655172413793103,19.285714285714285,24.117647058823525
25,61.41025641025642,54.35483870967742,51.833333333333336,50.88235294117647,59.316017316017316,58.471582927465285,34.8051948051948,53.13461538461538,65.7063492063492,27.931034482758623,13.928571428571427,17.058823529411764
