Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
16,78.78205128205128,57.74193548387096,55.0,55.88235294117648,84.61904761904762,61.86957098628925,57.71125541125541,70.0,74.39285714285714,34.48275862068965,17.142857142857142,11.764705882352942
17,78.84615384615384,57.25806451612904,55.33333333333333,55.0,82.80952380952381,61.60470048639386,60.58712121212121,56.333333333333336,76.21428571428571,31.034482758620687,18.928571428571427,11.176470588235293
18,77.88461538461539,57.25806451612904,55.5,51.76470588235294,77.42857142857142,55.151708886229,60.12121212121211,30.0,68.89285714285714,25.862068965517246,12.142857142857142,3.529411764705882
19,73.14102564102565,55.967741935483865,56.833333333333336,52.058823529411754,67.54761904761904,51.43474551764026,63.07242757242758,50.0,68.71428571428571,24.482758620689655,15.0,4.117647058823529
20,73.84615384615385,56.45161290322581,55.166666666666664,54.11764705882352,69.35714285714286,54.98874448564851,54.26696832579186,47.5,69.46428571428571,23.793103448275865,17.5,8.823529411764707
21,76.2820512820513,56.61290322580646,53.66666666666667,62.64705882352941,69.51587301587301,50.86321950360852,46.650793650793645,90.0,73.89285714285714,33.44827586206896,19.28571428571429,25.294117647058822
22,72.11538461538461,56.29032258064516,53.0,61.76470588235294,65.9047619047619,50.292578490247976,46.09387396229502,83.25892857142858,71.39285714285714,42.758620689655174,23.571428571428573,34.117647058823536
23,72.94871794871796,54.83870967741935,54.66666666666667,64.70588235294119,69.21428571428571,47.595375843053866,49.29505135387488,88.75,68.89285714285714,34.48275862068966,22.857142857142858,30.000000000000007
24,75.44871794871796,54.83870967741935,54.16666666666667,62.64705882352941,70.92857142857142,48.89311514079316,47.50041625041625,88.75,70.32142857142858,30.68965517241379,21.071428571428573,25.88235294117647
25,75.51282051282053,56.45161290322581,54.333333333333336,62.352941176470594,70.88095238095238,50.21813725490197,49.05339105339105,85.71428571428571,66.21428571428571,33.44827586206897,18.92857142857143,26.470588235294123
