Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
15,62.43589743589744,55.0,49.0,57.941176470588246,56.48268398268398,47.64657999952117,40.14280727516555,56.344474153297675,57.86904761904761,44.827586206896555,28.928571428571427,46.47058823529412
16,65.7051282051282,56.12903225806451,50.16666666666667,58.52941176470589,59.670634920634924,48.65460765460765,41.93472463209305,54.52161727161727,60.19047619047619,45.172413793103445,32.14285714285714,52.35294117647059
17,56.858974358974365,55.0,49.83333333333333,57.64705882352941,45.46825396825396,42.17407073668416,35.72422008374021,48.848722519310755,48.36904761904761,46.206896551724135,30.71428571428571,50.0
18,57.371794871794876,53.70967741935484,48.83333333333333,57.05882352941177,45.99206349206349,41.51662228260616,33.70576061365535,48.733995473125916,47.11904761904761,42.758620689655174,26.785714285714285,49.411764705882355
19,55.833333333333336,52.41935483870968,52.16666666666667,55.294117647058826,45.0,39.900559163059164,41.24742968095963,46.95664861454335,41.87301587301587,34.827586206896555,30.714285714285715,39.411764705882355
20,55.833333333333336,54.19354838709677,51.5,54.705882352941174,54.79761904761905,44.655968647407136,40.36901040136335,55.744083338476926,45.87301587301587,42.41379310344828,35.71428571428572,44.11764705882352
21,58.20512820512821,51.774193548387096,57.999999999999986,57.64705882352941,57.28571428571429,41.770937465450494,46.87129023765852,58.07673604345431,48.94444444444444,43.44827586206896,39.99999999999999,45.88235294117647
22,58.91025641025641,53.064516129032256,56.83333333333333,58.23529411764707,57.507936507936506,42.6979107848673,46.32558866254519,60.79020979020979,54.301587301587304,41.37931034482758,36.07142857142857,43.529411764705884
23,60.57692307692307,52.74193548387096,60.166666666666664,60.588235294117645,59.71428571428571,42.70789188881294,49.751450755374094,62.94160741219565,47.698412698412696,42.75862068965517,38.21428571428571,45.294117647058826
24,62.88461538461538,52.58064516129032,59.666666666666664,61.176470588235304,64.33333333333333,42.05576890746403,49.85049476667124,62.82282410571884,47.30555555555556,39.310344827586206,35.714285714285715,45.294117647058826
25,55.0,50.64516129032258,60.0,57.64705882352941,47.14285714285714,34.586446886446886,43.69588744588744,54.6482683982684,45.55555555555556,33.10344827586207,33.21428571428571,35.294117647058826
26,55.833333333333336,51.45161290322581,57.0,59.117647058823536,52.857142857142854,41.01161232570528,44.540184453227944,60.67124542124543,48.55555555555556,35.51724137931034,31.785714285714285,41.76470588235294
27,61.34615384615385,51.774193548387096,52.0,54.70588235294118,52.666666666666664,36.589565113945916,34.0839275103981,49.98949579831933,53.742063492063494,36.896551724137936,26.428571428571427,40.0
28,57.628205128205124,50.16129032258064,54.666666666666664,57.05882352941177,43.10064935064935,34.85839132880319,36.182261366084894,43.24638188608777,46.34126984126984,32.41379310344828,21.428571428571427,37.64705882352941
29,56.858974358974365,50.96774193548387,54.16666666666667,57.35294117647059,44.0,34.03602728970376,31.57032509973687,47.80555555555556,44.257936507936506,26.206896551724135,18.928571428571427,35.294117647058826
30,55.1923076923077,50.32258064516129,51.5,57.05882352941177,37.992063492063494,31.771825396825392,33.81474519632415,42.960221044939715,44.56349206349206,30.68965517241379,21.428571428571427,41.17647058823529
31,58.97435897435897,50.967741935483865,53.833333333333336,58.23529411764706,56.15873015873016,38.382408300906754,42.12838468720822,59.85782191664545,58.2063492063492,39.310344827586206,28.571428571428573,45.882352941176464
32,55.70512820512821,50.64516129032258,55.5,58.82352941176471,48.42857142857142,32.71220746363061,38.78520017993703,55.844780219780226,45.26984126984127,32.41379310344828,23.571428571428573,38.82352941176471
33,55.06410256410256,50.0,55.83333333333333,57.64705882352941,48.76190476190476,32.27117958972797,39.20231729055259,54.16383861236803,40.15873015873016,31.03448275862069,21.785714285714285,37.647058823529406
34,58.07692307692307,49.99999999999999,55.666666666666664,56.47058823529411,51.5,34.78896314102012,39.89126815213771,53.48278037751722,42.51984126984127,30.68965517241379,21.07142857142857,34.705882352941174
35,55.64102564102565,49.677419354838705,56.166666666666664,57.35294117647059,48.80952380952381,31.307895379945467,41.231768231768235,53.994505494505496,40.51984126984127,29.31034482758621,21.071428571428573,37.05882352941176
36,62.62820512820514,49.83870967741935,56.166666666666664,59.117647058823536,56.47619047619048,34.58744917321768,39.95184227537168,55.12302390591865,49.05952380952381,30.68965517241379,23.928571428571427,39.411764705882355
37,57.371794871794876,50.0,57.333333333333336,58.82352941176472,51.11111111111111,32.94296757164404,43.26545418805481,54.83730962020436,47.26984126984127,26.89655172413793,22.857142857142854,39.411764705882355
38,58.91025641025641,48.70967741935483,57.333333333333336,59.70588235294118,52.0,31.0525928320046,42.779515075567716,56.33364661654135,46.06349206349206,22.75862068965517,24.642857142857142,39.411764705882355
39,61.98717948717949,48.38709677419355,58.333333333333336,58.23529411764707,54.71428571428571,30.68912968696251,43.83867243867244,54.58502024291498,48.06349206349206,25.517241379310345,26.071428571428573,38.82352941176471
40,58.91025641025641,48.54838709677419,58.000000000000014,58.52941176470589,48.0,31.087354674311193,43.215821416285806,51.7095623674571,44.95238095238095,25.862068965517246,26.428571428571427,40.0
41,59.871794871794876,48.2258064516129,56.0,57.941176470588246,46.6031746031746,28.128260869565217,34.83235294117647,59.86813186813187,39.42460317460318,23.10344827586207,21.071428571428573,32.94117647058823
42,59.1025641025641,46.93548387096774,57.5,57.941176470588246,47.82142857142857,28.584188080755588,46.42810270561314,59.54761904761905,43.30952380952381,24.82758620689655,22.5,34.11764705882352
43,62.30769230769231,46.61290322580645,56.666666666666664,58.52941176470588,49.86507936507936,27.800057189187623,44.75757575757576,60.26190476190477,44.67460317460318,24.48275862068966,21.785714285714285,34.11764705882353
44,60.0,45.483870967741936,56.666666666666664,59.117647058823536,48.920634920634924,28.275997191214582,39.682655837454604,57.60926500400185,48.56349206349206,26.20689655172414,23.928571428571427,38.23529411764706
45,60.769230769230774,45.483870967741936,57.33333333333333,60.0,49.58730158730159,27.809345824563216,45.543345543345545,61.682663741487275,44.992063492063494,25.17241379310345,23.57142857142857,36.47058823529412
46,62.30769230769231,44.677419354838705,58.5,61.17647058823529,51.03571428571429,27.800029472443264,44.902331586542104,63.5,46.420634920634924,24.48275862068966,25.71428571428571,35.88235294117648
47,61.6025641025641,45.48387096774193,60.0,60.58823529411766,49.86507936507936,29.356177826005414,51.65075120957474,59.32390635680109,44.1031746031746,26.89655172413793,28.214285714285715,37.05882352941177
48,64.67948717948718,46.129032258064505,59.83333333333333,60.0,51.42857142857142,30.581961048492484,50.313655642603,55.106934731934736,52.71428571428571,33.79310344827586,27.14285714285714,40.0
49,66.21794871794872,46.4516129032258,61.33333333333333,59.117647058823536,52.88095238095239,31.201618614157315,54.429342587237315,53.91762404262404,52.71428571428571,33.44827586206897,28.928571428571427,38.82352941176471
50,70.25641025641025,47.096774193548384,59.166666666666664,57.352941176470594,63.23809523809523,36.50810374339786,58.02367438203352,58.4913967611336,57.21428571428571,37.93103448275862,29.999999999999993,38.82352941176471
