Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
5,79.55128205128204,51.45161290322581,56.0,59.70588235294118,82.58658008658008,48.85128504835042,56.92213423432936,76.95454545454547,75.10714285714286,52.06896551724138,33.57142857142858,32.352941176470594
6,75.51282051282051,50.322580645161295,53.66666666666667,65.29411764705881,77.94372294372295,46.87354445706848,51.33593915083685,100.0,78.46428571428571,37.58620689655173,31.428571428571427,30.588235294117645
7,74.80769230769229,56.61290322580645,54.0,62.05882352941177,74.74458874458874,55.776211710994325,53.446336996336996,100.0,78.60317460317461,32.41379310344827,24.642857142857146,24.11764705882353
8,74.03846153846155,55.0,55.333333333333336,62.05882352941178,74.4978354978355,52.821500817190476,60.94754265342501,98.88888888888889,79.21428571428571,30.344827586206897,26.071428571428573,24.705882352941178
9,74.74358974358975,54.516129032258064,52.166666666666664,58.82352941176471,74.01515151515152,53.29346092503987,52.46008158508158,100.0,74.71428571428571,24.82758620689655,16.428571428571427,17.64705882352941
10,74.6794871794872,55.16129032258063,52.5,57.941176470588246,79.01587301587301,53.269773704556314,48.74404761904761,97.5,70.35317460317461,26.206896551724135,14.642857142857142,16.470588235294116
11,72.11538461538463,54.516129032258064,54.833333333333336,55.88235294117648,75.89682539682539,51.70344896852022,67.11888601594484,93.6842105263158,68.46428571428571,36.55172413793103,18.214285714285715,18.823529411764703
12,76.21794871794873,55.0,54.666666666666664,58.82352941176472,76.74531024531025,52.380680786287186,59.021950271950274,96.0,75.64285714285714,27.931034482758616,17.142857142857142,18.823529411764707
13,74.87179487179489,53.87096774193549,53.5,54.705882352941174,74.70562770562772,51.07054125998225,53.01965551914841,82.15789473684211,75.14285714285714,32.41379310344827,20.0,19.411764705882355
14,72.5,54.83870967741935,54.0,54.70588235294118,74.84126984126985,52.757243822568896,60.443349134525604,91.5909090909091,71.35317460317461,31.724137931034477,21.428571428571427,17.647058823529413
15,76.28205128205128,55.16129032258065,54.333333333333336,57.352941176470594,81.38888888888889,52.11737677527151,60.2213108528898,100.0,71.10317460317461,27.241379310344826,17.5,14.705882352941178
16,74.61538461538461,54.35483870967742,52.83333333333333,56.76470588235295,78.33333333333333,50.465898480604366,54.44871794871794,97.5,67.71428571428571,21.724137931034484,14.642857142857142,14.11764705882353
17,80.25641025641025,56.45161290322581,55.5,59.411764705882355,85.0,55.86584912671869,58.4469696969697,100.0,74.21428571428571,28.965517241379303,24.642857142857142,18.823529411764707
18,72.88461538461539,56.12903225806451,55.0,57.941176470588246,76.4469696969697,55.15843801582124,59.87609853914201,94.23076923076923,71.10317460317461,36.20689655172414,29.285714285714285,24.705882352941178
19,70.57692307692307,56.935483870967744,54.333333333333336,57.64705882352941,69.0580808080808,56.40143239113827,55.35722610722611,92.56410256410257,75.96428571428571,39.6551724137931,31.071428571428573,24.705882352941178
20,70.57692307692307,58.87096774193549,55.5,58.23529411764706,66.69444444444444,59.92997387889028,55.930284985428145,94.64285714285714,77.39285714285714,41.72413793103448,32.5,25.294117647058822
21,72.88461538461539,57.74193548387096,55.16666666666667,57.05882352941177,73.91666666666666,57.18464002220808,58.21381834539729,91.49425287356321,74.53571428571429,37.93103448275862,30.71428571428571,23.529411764705884
